,Report Year,Overall Rank,Country,Happiness Score,Normalized Happiness Score
0,2015,1,Switzerland,7.587000000000001,0.991764705882353
1,2015,2,Iceland,7.561,1.0
2,2015,3,Denmark,7.527,0.9606531531098806
3,2015,4,Norway,7.522,0.9826257348138472
4,2015,5,Canada,7.4270000000000005,0.9926022012812721
5,2015,6,Finland,7.406000000000001,0.9484293056953794
6,2015,7,Netherlands,7.377999999999999,0.9821618743343982
7,2015,8,Sweden,7.364,0.9844919786096256
8,2015,9,New Zealand,7.2860000000000005,0.9893130990889447
9,2015,10,Australia,7.284,0.9910204081632653
10,2015,11,Israel,7.278,0.9968497466100533
11,2015,12,Costa Rica,7.226,0.9957282623673693
12,2015,13,Austria,7.2,0.9770660876645407
13,2015,14,Mexico,7.187,1.0
14,2015,15,United States,7.119,0.9791504854765029
15,2015,16,Brazil,6.983,1.0
16,2015,17,Luxembourg,6.946000000000001,0.9597236361578978
17,2015,18,Ireland,6.94,0.9545307443751834
18,2015,19,Belgium,6.937,0.976233443700528
19,2015,20,United Arab Emirates,6.901,0.9659854423292272
20,2015,21,United Kingdom,6.867000000000001,0.955076495132128
22,2015,23,Venezuela,6.81,0.9674669697400199
23,2015,24,Singapore,6.797999999999999,1.0
24,2015,25,Panama,6.7860000000000005,0.9500209995800085
25,2015,26,Germany,6.75,0.9539557442733588
26,2015,27,Chile,6.67,0.9947800149142431
28,2015,29,France,6.575,0.9720579538734477
29,2015,30,Argentina,6.574,0.9885714285714285
30,2015,31,Czech Republic,6.505,0.9412666788425624
31,2015,32,Uruguay,6.485,0.9908326967150497
32,2015,33,Colombia,6.477,0.9993828112945534
33,2015,34,Thailand,6.455,0.9970651838121718
34,2015,35,Saudi Arabia,6.4110000000000005,0.976586021557881
35,2015,36,Spain,6.329,0.940498251707146
36,2015,37,Malta,6.3020000000000005,0.9304866567512827
37,2015,38,Taiwan,6.297999999999999,0.9756173141488014
38,2015,39,Kuwait,6.295,0.9623651078530885
40,2015,41,Trinidad and Tobago,6.167999999999999,0.9461573861021628
41,2015,42,El Salvador,6.13,0.9656128442752007
42,2015,43,Guatemala,6.122999999999999,0.9487139764169282
43,2015,44,Uzbekistan,6.002999999999999,0.9593135007229577
44,2015,45,Slovakia,5.995,0.9545266267918048
45,2015,46,Japan,5.987,0.987302110817942
46,2015,47,South Korea,5.984,0.954842827509175
47,2015,48,Ecuador,5.975,0.991207697412077
48,2015,49,Bahrain,5.96,0.9570760747303478
49,2015,50,Italy,5.9479999999999995,0.9060573477189635
50,2015,51,Bolivia,5.89,1.0
51,2015,52,Moldova,5.888999999999999,0.9986433779888078
52,2015,53,Paraguay,5.877999999999999,1.0
53,2015,54,Kazakhstan,5.855,0.9665065528305707
54,2015,55,Slovenia,5.848,0.9190055656633402
55,2015,56,Lithuania,5.832999999999999,0.9384603192811776
56,2015,57,Nicaragua,5.827999999999999,0.9490311024263148
57,2015,58,Peru,5.824,1.0
58,2015,59,Belarus,5.813,1.0
59,2015,60,Poland,5.791,0.9361007688414809
60,2015,61,Malaysia,5.77,0.9126858589054097
61,2015,62,Croatia,5.7589999999999995,1.0
62,2015,63,Libya,5.754,1.0
63,2015,64,Russia,5.716,0.9585779258067162
64,2015,65,Jamaica,5.709,0.9225570342380713
66,2015,67,Cyprus,5.689,0.8798329724713888
67,2015,68,Algeria,5.605,0.8819826907946499
68,2015,69,Kosovo,5.5889999999999995,0.8836084121336428
69,2015,70,Turkmenistan,5.547999999999999,0.8481654675725074
70,2015,71,Mauritius,5.477,0.8976775789994899
71,2015,72,Hong Kong,5.474,0.9911280101394171
72,2015,73,Estonia,5.428999999999999,0.9015576676469054
73,2015,74,Indonesia,5.399,1.0
74,2015,75,Vietnam,5.36,0.9687330562082055
75,2015,76,Turkey,5.332000000000001,0.9694545454545456
76,2015,77,Kyrgyzstan,5.2860000000000005,0.953893334339405
77,2015,78,Nigeria,5.268,1.0
79,2015,80,Azerbaijan,5.212000000000001,0.9850689850689851
80,2015,81,Pakistan,5.194,0.9123004601600312
81,2015,82,Jordan,5.192,0.9073981480903855
82,2015,82,Montenegro,5.192,0.9361533093414357
83,2015,84,China,5.14,0.9747772105105629
84,2015,85,Zambia,5.129,1.0
85,2015,86,Romania,5.124,0.8367490048796709
86,2015,87,Serbia,5.122999999999999,0.8866082633015057
87,2015,88,Portugal,5.102,0.8631511106387303
88,2015,89,Latvia,5.098,0.8568067501932923
89,2015,90,Philippines,5.073,0.844655338748664
91,2015,92,Morocco,5.013,0.9541301865245528
94,2015,95,Albania,4.959,0.8935135135135135
95,2015,96,Bosnia and Herzegovina,4.949,0.872208820435362
97,2015,98,Dominican Republic,4.885,0.8586444606020142
